OC_County_FIPS,MR_County_FIPS
40049,38099
2000,20101
27017,18169
41065,20039
29157,29077
55131,51683
6027,19033
25001,23005
48279,27011
46111,37167
47157,19189
39021,38043
47181,46031
26013,41067
17037,48301
17135,45000
39139,13305
13191,38061
19155,31105
19007,31021
6037,13137
55041,6087
51139,55001
46111,45041
27101,56031
26069,21083
49013,40111
18115,38069
8067,32019
39033,40065
5039,48043
17149,45083
38053,26137
49049,22055
39047,26085
48395,48037
17145,48075
39099,28083
48237,28021
21097,40023
45015,13183
51031,47067
48039,30039
49017,22085
17013,5051
17053,13313
17139,42049
27021,18063
22017,48325
30059,55125
8001,12093
18039,2270
51155,19027
5149,17063
29059,37147
48233,48491
13063,42033
22023,55067
51590,31089
17099,27121
5147,51105
48323,51153
21125,8009
24041,53065
28011,51133
18107,1001
54091,5065
21075,46011
47159,29103
8039,21079
21203,18145
35009,20181
13321,48075
21219,45000
12045,26017
37165,55003
37007,50005
32023,53003
48413,49003
6039,47065
35021,51119
17019,40000
8071,40059
48125,39025
34037,40007
47097,48249
5011,29201
1035,18045
31113,40107
21021,51113
21231,37179
22057,34009
51710,45083
42099,41021
48283,48185
12045,40125
28109,47047
40007,38099
35021,27165
42079,40027
